"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.0583723668537677,0.324587976579098,-0.179835271376859,0.857281892456419
"characteristics",3.26486022878031,0.253450892935119,12.8816284329134,5.71175477957198e-38
"country_of_originBurundi",2.15601662574838,4.82017231032327,0.447290363693198,0.654665423727193
"country_of_originChina",0.101970750335093,0.975502275324392,0.104531535101939,0.916747543960446
"country_of_originColombia",1.71749247770085,0.466576470674157,3.68105248689298,0.000232273179925018
"country_of_originCosta Rica",-0.10886075981471,0.684948888737396,-0.158932676006496,0.873721916156683
"country_of_originCote d?Ivoire",-12.7054830165258,6522.63862685927,-0.00194790540199583,0.998445797336704
"country_of_originEcuador",-1.61426980630827,1.45579582173377,-1.10885728768322,0.26749175219192
"country_of_originEl Salvador",0.50695576570425,0.920532522930144,0.550720102849339,0.581825561720219
"country_of_originEthiopia",14.7386075816211,871.8674685672,0.0169046421766855,0.986512689375604
"country_of_originGuatemala",-0.6031748277958,0.448033065207855,-1.34627302008607,0.178214483536225
"country_of_originHaiti",1.6132267966679,1.69753850567208,0.950332962273039,0.341943095213085
"country_of_originHonduras",-0.336721858439351,0.596891234314217,-0.564125989932185,0.57266839148598
"country_of_originIndia",-3.09777923502779,0.976231497731769,-3.17320148164174,0.0015076785650347
"country_of_originIndonesia",-0.408050218620415,0.858295186655337,-0.475419441894498,0.63448803967293
"country_of_originKenya",1.438740125278,1.53692881361463,0.93611370450808,0.349214647701478
"country_of_originLaos",-15.5292554791584,4418.67830485894,-0.00351445713123807,0.997195874687866
"country_of_originMalawi",-1.36166304754318,1.19110808124295,-1.14319016803434,0.252959643522501
"country_of_originMauritius",-12.6933370101552,6522.63862693328,-0.00194604327116052,0.998447283099332
"country_of_originMexico",-0.850385999031933,0.411338355451156,-2.06736373538332,0.0386998927114525
"country_of_originMyanmar",-15.927536772636,2432.62431441545,-0.00654747084383366,0.994775911426993
"country_of_originNicaragua",0.261148818687111,1.87372498022521,0.139374145855558,0.88915450155856
"country_of_originPanama",2.91534219755036,1.88712131896574,1.54486209670301,0.122379623293406
"country_of_originPeru",-15.202322225475,6522.63861602745,-0.00233070128829762,0.99814037110986
"country_of_originPhilippines",2.38646465181011,2.92559411525548,0.81571966506424,0.414660489108239
"country_of_originTaiwan",0.193623630452538,0.585774208380586,0.330543113169535,0.740989621866297
"country_of_originTanzania, United Republic Of",0.799817996658762,0.662719589799888,1.20687242231706,0.227481279708534
"country_of_originThailand",1.96025665333985,0.924108102377834,2.1212417121935,0.033901466692133
"country_of_originUganda",-1.49506062129687,0.673058177144872,-2.2212947885708,0.0263310016136171
"country_of_originUnited States",-0.230746938202055,1.55754085855919,-0.148148240820795,0.882225778788374
"country_of_originUnited States (Hawaii)",4.45676276505601,6522.63870663059,0.000683276042949533,0.999454824636985
"country_of_originUnited States (Puerto Rico)",-3.10212377590715,1.6397030926466,-1.89188139597889,0.0585067850606096
"country_of_originVietnam",1.9178690158569,1.0773601915168,1.78015582064227,0.0750504633200641
"country_of_originZambia",-15.1305583696855,6522.63861625092,-0.00231969901444307,0.998149149630572
